id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
5-0072,24,1724,65,789,561,428,902,743,986,379,359,311,550
5-0073,25,1714,53,810,557,406,813,663,911,353,343,336,540
5-0074,23,1715,48,790,558,411,813,618,890,341,330,351,540
5-0075,24,1707,59,788,565,440,855,673,925,376,359,328,550
5-0076,32,1656,47,780,552,400,805,607,864,336,324,357,550
5-0077,25,1591,83,691,522,441,1060,932,1095,453,421,354,580
5-0078,25,1545,54,676,513,386,893,711,949,365,358,368,550
5-0079,26,1629,55,742,529,418,877,673,918,373,343,331,560
5-0080,22,1627,70,723,514,434,928,815,1031,404,406,380,550
5-0081,25,1628,54,738,529,410,834,694,951,367,362,377,540
5-0082,26,1538,44,713,502,361,800,662,865,321,307,340,530
5-0108,25,1715,57,801,578,419,854,686,923,370,359,312,550
5-0109,27,1639,59,760,550,412,914,695,954,379,370,325,560
5-0110,26,1689,53,784,552,407,806,644,927,368,355,332,550
5-0111,23,1649,50,784,551,406,819,664,877,346,347,343,550
5-0112,25,1585,47,697,512,390,778,625,891,353,355,353,530
5-0118,27,1623,63,758,554,406,884,775,974,383,386,379,550
5-0119,33,1548,65,684,529,439,950,891,963,387,379,335,530
5-0120,30,1604,74,731,534,403,1009,843,1037,386,384,357,560
5-0139,27,1641,50,765,546,359,806,645,877,347,343,389,540
5-0140,26,1558,48,721,517,376,808,615,865,339,347,419,540
5-0141,25,1593,50,728,511,415,803,635,887,339,346,384,540
5-0142,20,1577,59,736,525,383,899,736,933,377,378,326,550
5-0143,33,1485,40,680,480,383,772,585,841,330,329,376,520
5-0144,36,1569,52,723,524,407,839,696,890,360,350,361,540
5-0145,25,1514,46,687,384,365,790,633,901,338,327,366,530
5-0146,27,1675,62,774,551,424,876,716,983,372,372,332,550
5-0147,29,1655,65,796,535,388,895,733,1000,420,390,310,550
5-0148,28,1676,52,777,543,360,837,667,878,333,345,364,550
5-0149,24,1565,74,694,505,425,950,843,1028,450,422,371,550
5-0150,20,1588,48,746,524,382,803,651,860,349,346,347,520
5-0151,21,1520,48,685,513,368,789,639,889,377,371,322,520
5-0152,25,1630,55,763,542,376,839,713,928,362,366,383,540
5-0153,39,1541,57,698,496,416,912,780,925,364,343,358,530
5-0167,53,1548,62,703,516,436,930,815,997,385,351,373,540
5-0168,59,1484,57,665,524,413,963,842,917,357,337,281,540
5-0169,52,1575,64,720,536,416,937,830,1019,367,371,298,530
5-0170,45,1570,58,719,552,350,911,802,942,351,346,283,550
5-0171,54,1537,54,703,503,405,881,782,942,354,332,296,540
5-0172,54,1529,56,678,501,392,837,759,946,390,362,405,530
5-0173,53,1491,53,673,487,405,908,811,940,355,339,420,550
5-0188,38,1500,51,676,505,393,850,721,887,308,304,345,540
5-0195,21,1571,42,730,493,378,720,586,808,299,309,328,560
5-0196,21,1634,58,726,515,430,846,681,925,334,339,344,570
5-0197,21,1590,57,736,505,420,861,706,936,344,354,328,540
5-0198,68,1568,68,689,528,389,939,913,1029,354,332,321,590
5-0199,39,1613,73,721,542,408,971,841,1027,362,382,368,590
5-0202,22,1700,56,797,673,398,823,670,945,356,303,327,550
5-0206,20,1640,49,773,550,399,837,620,880,330,294,315,550
5-0207,41,1591,56,728,523,428,860,682,893,314,319,351,560
5-0208,39,1630,65,742,533,421,904,726,1022,356,348,341,550
5-0211,23,1636,55,744,527,411,828,662,946,323,306,221,570
5-0212,24,1661,73,734,560,426,930,770,1042,373,367,294,570
5-0213,58,1453,50,658,483,384,869,794,856,298,292,347,530
5-0214,66,1606,66,714,544,368,904,868,973,357,356,314,570
5-0215,60,1532,62,674,502,405,924,929,937,354,318,280,540
5-0216,63,1493,62,687,533,386,931,885,913,302,302,269,560
5-0218,63,1521,60,679,524,394,930,931,923,306,305,203,570
5-0219,69,1499,53,697,514,390,896,825,888,307,298,386,550
5-0220,60,1516,47,661,495,398,825,700,864,339,312,391,560
5-0223,65,1521,55,653,508,395,857,865,914,336,321,253,550
5-0224,58,1561,52,715,543,390,838,700,890,335,311,191,550
5-0226,23,1649,49,759,554,420,778,600,889,325,302,234,550
5-0227,27,1588,75,680,492,397,944,838,1095,429,410,285,570
5-0228,26,1614,50,724,496,370,817,634,879,330,296,319,550
5-0229,26,1593,55,741,524,405,840,654,944,341,332,316,560
5-0230,26,1527,45,691,481,393,780,652,892,316,292,345,530
5-0231,24,1632,55,760,533,390,868,670,945,335,316,329,560
5-0236,36,1541,48,698,494,382,815,650,879,317,304,288,530
5-0238,28,1696,64,780,555,434,884,696,937,356,362,244,570
5-0239,24,1575,56,744,525,376,885,690,941,325,341,318,570
5-0240,65,1598,67,708,550,395,926,919,958,322,327,339,560
5-0244,27,1645,63,775,533,398,876,716,970,343,342,292,540
5-0245,25,1698,55,769,552,390,790,627,915,316,319,327,570
5-0246,37,1604,61,715,515,393,935,843,929,303,319,303,540
5-0247,25,1581,50,732,535,376,815,668,873,321,317,318,550
5-0260,50,1536,46,712,512,370,810,655,861,297,281,190,520
5-0261,50,1619,53,734,533,407,825,680,913,307,308,261,530
5-0262,46,1552,57,725,523,398,890,795,906,342,326,318,550
5-0263,43,1591,58,743,533,414,880,753,911,345,326,264,560
5-0264,49,1516,45,688,516,355,835,770,840,294,284,263,540
5-0265,42,1593,57,722,528,411,917,814,916,309,308,283,560
5-0268,44,1535,60,713,505,394,830,782,944,339,346,263,550
5-0269,46,1590,56,717,518,369,880,755,921,328,315,329,560
5-0270,45,1548,43,701,505,369,782,655,836,296,287,294,550
5-0271,49,1545,49,713,541,384,859,761,870,299,296,370,510
5-0272,42,1567,59,722,522,399,885,765,959,357,357,309,550
