id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
5-0003,23,1741,75,778,561,484,995,844,984,385,387,299,580
5-0004,23,1649,49,733,523,447,852,630,827,336,344,340,540
5-0005,22,1739,60,809,570,475,926,723,909,376,363,335,560
5-0006,21,1737,58,784,563,453,932,735,875,339,344,302,590
5-0010,26,1794,73,792,579,488,984,780,979,381,414,312,550
5-0011,28,1778,84,764,586,465,1064,822,1020,415,428,325,600
5-0012,26,1786,93,785,606,528,1150,873,1043,412,441,315,590
5-0014,20,1798,85,839,605,529,1030,865,1080,412,405,289,570
5-0015,22,1769,80,784,591,499,1066,824,978,392,409,366,570
5-0016,27,1682,56,768,565,454,899,715,871,354,369,332,580
5-0017,22,1746,71,754,589,441,967,775,968,390,381,395,600
5-0019,23,1628,56,667,506,420,900,734,893,355,353,438,560
5-0020,20,1760,76,804,593,470,1059,799,972,386,412,355,600
5-0022,28,1623,68,692,525,438,976,881,970,371,393,409,560
5-0029,23,1837,75,856,616,497,1008,816,981,386,387,381,600
5-0030,46,1695,65,775,556,461,1008,820,954,364,351,312,650
5-0031,21,1661,58,768,570,433,932,737,890,344,355,325,580
5-0032,21,1700,56,822,572,432,890,656,868,364,370,299,600
5-0033,59,1662,74,733,547,450,1008,893,961,394,377,307,570
5-0034,20,1730,60,797,571,449,908,732,934,368,353,380,550
5-0035,25,1788,72,800,611,451,960,758,970,394,366,374,580
5-0036,20,1713,61,763,553,454,918,700,889,371,370,366,560
5-0037,22,1792,64,830,591,456,894,707,928,383,391,429,550
5-0038,22,1803,64,845,601,464,908,741,935,378,375,330,560
5-0039,23,1778,65,858,596,452,970,762,914,387,371,315,580
5-0040,27,1766,90,803,583,486,1065,930,1076,428,456,322,590
5-0041,27,1557,65,687,539,409,988,830,941,372,386,337,580
5-0045,22,1747,71,829,588,455,1006,787,950,383,396,352,570
5-0047,24,1800,71,875,598,478,987,802,942,392,387,371,570
5-0048,21,1738,63,819,574,448,900,693,929,376,380,317,590
5-0049,27,1655,56,797,555,442,910,715,896,355,346,313,570
5-0050,26,1800,77,841,504,463,978,836,1007,408,412,383,600
5-0051,27,1677,80,732,537,460,1053,927,1031,406,422,306,580
5-0052,29,1702,113,773,580,527,1181,1227,1230,454,519,329,600
5-0053,23,1768,74,825,609,480,990,810,992,405,395,331,600
5-0054,42,1718,64,809,571,467,929,855,922,365,377,347,560
