id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,thighCirc,armCirc,calfCirc,headWidth
5_0003,23,1741,75,778,561,467,1017,844,984,512,335,387,178
5_0004,23,1649,49,733,523,422,891,630,827,573,302,344,159
5_0005,22,1739,60,809,570,463,945,723,909,586,312,363,165
5_0006,21,1737,58,784,563,439,909,735,875,626,325,344,176
5_0010,26,1794,73,792,579,476,1018,780,979,502,332,414,176
5_0011,28,1778,84,764,586,467,1082,822,1020,636,395,428,177
5_0012,26,1786,93,785,606,504,1181,873,1043,582,438,441,175
5_0014,20,1798,85,839,605,516,1066,865,1080,648,409,405,179
5_0015,22,1769,80,784,591,485,1125,824,978,603,381,409,173
5_0016,27,1682,56,768,565,438,944,715,871,552,312,369,165
5_0017,22,1746,71,754,589,419,1004,775,968,551,325,381,169
5_0019,23,1628,56,667,506,411,928,734,893,566,307,353,163
5_0020,20,1760,76,804,593,436,1063,799,972,558,380,412,179
5_0022,28,1623,68,692,525,431,1008,881,970,549,366,393,175
5_0030,46,1695,65,775,556,451,1035,820,954,584,371,351,172
5_0031,21,1661,58,768,570,424,977,737,890,574,317,355,181
5_0032,21,1700,56,822,572,422,916,656,868,535,313,370,169
5_0033,59,1662,74,733,547,432,1037,893,961,595,383,377,176
5_0034,20,1730,60,797,571,428,918,732,934,667,306,353,162
5_0035,25,1788,72,800,611,433,989,758,970,716,329,366,178
5_0036,20,1713,61,763,553,445,951,700,889,584,331,370,172
5_0037,22,1792,64,830,591,454,943,707,928,548,347,391,162
5_0038,22,1803,64,845,601,444,942,741,935,505,305,375,180
5_0039,23,1778,65,858,596,445,973,762,914,584,350,371,150
5_0040,27,1766,90,803,583,464,1108,930,1076,532,401,456,161
5_0041,27,1557,65,687,539,402,1038,830,941,585,370,386,143
5_0045,22,1747,71,829,588,451,1022,787,950,589,374,396,144
5_0047,24,1800,71,875,598,473,1020,802,942,604,333,387,147
5_0048,21,1738,63,819,574,455,924,693,929,562,332,380,146
5_0049,27,1655,56,797,555,425,955,715,896,525,336,346,141
5_0050,26,1800,77,841,504,449,1020,836,1007,634,359,412,141
5_0051,27,1677,80,732,537,434,1102,927,1031,550,369,422,155
5_0052,29,1702,113,773,580,472,1233,1227,1230,604,455,519,154
5_0053,23,1768,74,825,609,464,1008,810,992,548,369,395,155
5_0054,42,1718,64,809,571,447,995,855,922,551,379,377,146
5_0055,56,1543,52,707,512,371,916,746,875,587,311,341,142
5_0056,52,1659,70,756,542,443,1017,882,968,553,336,383,150
5_0057,42,1695,60,793,559,471,976,807,912,503,351,356,145
5_0058,36,1709,67,764,578,451,1022,828,953,550,328,368,149
5_0059,28,1735,78,815,589,442,1088,892,981,498,357,408,149
5_0060,54,1645,64,741,533,416,1015,893,907,705,354,359,179
5_0061,44,1711,74,770,581,411,1045,892,971,583,368,395,170
5_0062,48,1818,81,856,605,447,1092,920,973,562,331,411,184
5_0063,58,1625,75,732,543,436,1087,956,988,643,380,402,169
5_0064,54,1693,75,788,580,442,1029,954,975,553,377,412,163
5_0065,54,1639,71,778,561,408,1022,943,926,507,340,394,170
5_0066,26,1602,53,749,542,420,917,709,864,629,300,361,166
5_0067,30,1754,80,801,578,449,1065,861,1024,597,351,420,174
5_0068,40,1733,64,789,557,463,962,785,934,584,327,383,179
5_0069,49,1672,72,788,556,478,1044,840,942,634,342,384,189
5_0070,40,1711,63,771,547,426,962,801,910,565,333,374,167
5_0071,39,1656,66,741,538,445,998,860,922,550,359,381,177
5_0083,54,1650,74,749,564,424,1074,968,998,666,380,396,173
5_0084,35,1669,72,745,531,425,1055,844,1000,638,360,390,173
5_0085,37,1696,72,760,569,445,1043,847,955,598,355,387,180
5_0086,49,1693,72,763,524,463,1028,882,931,589,367,407,178
5_0087,51,1712,63,775,556,432,972,723,941,545,319,370,181
5_0088,27,1714,64,783,570,431,912,725,930,616,323,393,177
5_0090,39,1730,61,816,591,425,943,762,903,624,306,367,158
5_0091,41,1550,56,703,515,406,976,811,897,550,312,350,145
5_0092,38,1729,76,811,562,443,1047,850,980,556,325,393,155
5_0093,50,1665,67,760,552,455,1007,857,928,538,332,393,187
5_0095,46,1663,66,756,548,423,989,823,949,566,353,370,157
5_0096,54,1560,55,717,516,423,944,830,880,605,312,344,157
5_0097,22,1734,69,834,595,470,1008,788,962,606,348,391,160
5_0100,31,1684,77,750,553,439,1057,944,1002,482,373,396,169
5_0102,25,1600,61,735,543,424,1046,726,923,658,335,380,166
5_0103,47,1667,72,749,531,456,1062,901,970,603,357,388,167
