age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
23,158,50,75,67,15,31,52,52,40,86,37,71,55,57,22,179
23,153,51,80,72,15,32,54,53,39,90,39,69,53,56,20,191
20,161,59,81,71,16,30,55,58,40,93,38,75,57,56,23,190
23,154,44,72,64,14,29,53,49,39,86,34,70,55,56,20,170
23,155,47,68,62,15,32,52,55,38,87,34,69,59,54,23,164
21,157,51,73,62,16,30,51,55,39,90,35,70,55,57,19,170
24,162,58,86,76,16,32,55,55,44,97,37,73,59,56,21,199
23,155,52,74,67,16,29,50,55,40,92,38,67,57,54,20,179
20,174,70,88,77,17,35,59,60,42,101,42,82,62,61,23,207
21,156,57,78,71,15,33,53,59,39,94,38,69,56,58,21,187
20,161,55,75,66,17,31,56,56,39,92,38,73,57,56,21,179
22,160,69,88,77,16,32,55,62,41,105,43,70,61,58,22,208
24,167,63,84,70,16,32,57,63,40,98,39,75,61,57,23,193
20,161,56,81,67,16,30,53,57,40,97,39,71,60,55,22,187
23,163,53,79,68,17,30,55,53,40,93,41,74,58,56,22,188
21,164,54,73,67,18,30,58,54,36,94,36,75,57,58,21,176
24,161,48,72,60,16,30,56,54,40,91,36,72,58,55,22,168
21,156,51,78,69,15,30,53,54,36,91,36,72,54,56,20,183
21,156,52,73,66,16,31,51,52,35,90,38,69,55,55,20,177
23,156,56,84,74,16,31,53,56,37,95,39,72,55,55,21,197
21,157,58,84,76,16,31,52,60,40,99,39,72,57,55,21,199
23,160,60,81,68,16,30,54,60,37,97,38,74,57,57,20,187
21,157,55,75,67,17,31,56,58,40,92,39,70,56,59,21,181
21,158,55,72,67,17,32,56,57,41,94,37,76,53,56,19,176
21,156,48,76,68,16,30,51,52,39,90,37,68,55,54,21,181
20,165,51,77,66,16,31,55,53,41,91,37,73,58,55,21,180
20,165,58,78,73,16,31,55,57,38,95,39,71,61,60,23,190
23,157,48,72,64,17,29,56,53,35,88,35,72,55,55,21,171
22,171,55,69,64,16,30,57,51,39,91,36,79,61,58,22,169
22,171,50,73,63,17,30,57,50,41,92,35,81,58,58,21,171
20,166,50,76,68,15,29,56,52,40,89,37,76,59,58,22,181
23,157,44,73,65,15,28,56,50,39,84,33,73,57,55,22,171
23,158,59,82,81,16,32,53,56,43,93,39,72,54,58,21,202
22,171,57,78,71,16,31,56,53,44,93,39,79,61,56,21,188
22,161,45,68,62,15,29,53,48,40,87,36,73,58,54,20,166
20,165,54,80,68,15,31,56,55,42,94,38,76,58,57,21,186
22,153,41,69,63,14,28,50,48,38,84,34,70,55,54,20,166
