age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
20,167,50,67,64,15,32,55,48,41,87,37,75,60,57,19,168
20,169,55,70,68,16,32,56,52,43,89,37,71,61,57,16,175
20,179,73,83,80,18,37,62,56,42,97,43,85,59,61,16,206
20,160,51,74,72,16,32,52,51,40,87,38,70,57,55,16,184
21,166,81,95,95,19,39,56,62,46,102,46,74,62,60,16,236
24,172,66,80,80,18,35,59,55,43,94,42,80,62,56,17,202
24,185,73,77,77,18,35,60,56,46,94,42,83,67,61,18,196
21,179,74,87,83,17,36,61,55,45,99,44,82,62,61,18,214
22,176,73,86,83,17,36,60,58,46,97,42,78,64,59,17,211
20,164,74,93,87,18,37,57,60,46,101,43,74,60,61,19,223
23,163,62,84,82,16,35,55,54,40,91,43,72,57,59,17,209
23,170,59,73,69,16,34,58,51,41,89,40,77,61,59,19,182
22,177,74,79,76,18,35,61,59,46,100,43,80,64,61,19,198
24,175,74,83,82,18,37,60,58,46,97,47,83,59,58,18,212
24,174,71,82,79,17,35,58,57,42,97,43,78,63,59,21,204
23,179,61,74,73,17,35,60,55,47,92,39,80,62,60,17,186
22,174,67,95,74,17,34,57,56,41,96,41,79,62,57,18,210
22,176,68,79,77,16,34,58,56,44,96,42,79,66,58,21,198
22,170,59,76,75,17,36,58,58,41,99,42,78,65,59,17,193
20,171,68,83,80,18,36,60,58,43,96,43,77,60,58,17,206
21,168,66,85,82,16,34,57,56,43,95,41,77,58,59,19,208
23,177,69,82,81,18,36,59,57,43,95,43,81,63,57,19,206
22,176,68,80,79,17,35,59,57,43,96,41,80,61,60,18,200
22,176,71,80,77,18,36,59,56,43,97,43,78,62,60,19,200
21,173,67,88,83,18,35,65,53,41,96,43,85,57,59,20,214
24,169,61,76,75,16,35,57,51,41,93,41,80,59,58,19,192
22,172,64,78,75,17,34,58,52,39,94,45,79,63,59,20,198
20,168,61,78,77,16,37,55,54,42,93,42,74,61,58,17,197
24,179,71,84,82,19,35,61,57,43,95,44,89,60,58,19,210
23,174,74,84,82,18,36,58,60,45,90,42,80,61,59,19,208
23,170,64,81,79,17,35,56,56,43,92,43,77,60,59,17,203
24,169,57,74,73,16,34,56,54,39,88,40,75,63,57,19,187
24,168,87,100,99,17,40,59,68,48,110,47,77,57,60,15,246
23,174,64,75,75,16,34,58,56,41,92,42,79,62,59,18,192
24,171,70,88,85,18,36,59,57,44,96,44,77,61,60,18,217
22,185,101,106,98,19,39,63,68,46,113,48,85,66,56,20,252
21,164,55,71,67,16,35,55,52,40,89,40,76,58,56,19,178
20,175,76,88,85,17,40,56,60,40,102,50,79,63,57,20,223
23,174,76,93,88,17,35,59,60,40,101,44,80,60,58,18,225
24,177,69,80,78,18,37,60,56,45,95,45,80,63,59,18,203
20,170,69,78,75,18,35,59,57,39,96,46,76,63,60,20,199
22,179,67,73,72,17,39,60,53,48,92,43,83,64,59,18,188
22,171,78,90,89,17,37,57,62,44,99,45,78,60,61,16,224
23,171,66,72,70,16,34,58,50,46,88,38,77,62,59,18,180
22,176,55,79,77,17,37,59,53,43,94,43,78,64,60,19,199
23,176,64,78,78,16,36,58,55,42,92,43,80,61,58,17,199
22,168,53,72,71,16,34,59,49,43,86,38,79,57,55,16,181
21,168,78,92,87,17,38,60,62,44,104,49,75,59,61,17,228
22,166,68,87,84,17,36,54,58,40,93,43,71,61,59,18,214
24,174,73,89,88,16,39,60,61,45,98,44,78,59,60,16,221
24,177,69,78,76,17,37,57,53,43,93,44,79,61,59,18,198
24,168,66,79,97,17,37,55,57,44,93,43,75,60,58,19,219
23,172,67,79,78,17,37,59,56,44,94,44,79,59,63,18,201
23,169,63,76,75,17,34,56,57,41,93,42,73,62,60,20,193
24,179,62,74,74,18,34,60,48,44,89,40,81,62,60,17,188
24,174,57,67,67,18,35,58,48,44,87,40,78,62,58,19,174
23,179,78,90,87,17,34,63,60,47,100,46,83,61,59,19,223
20,164,63,80,79,17,37,55,57,42,93,43,73,56,59,19,202
21,170,77,88,84,18,36,57,63,44,102,45,74,60,60,20,217
22,178,81,86,81,17,36,60,62,48,102,45,81,64,59,19,212
23,172,66,83,79,17,35,56,54,42,91,44,77,59,59,20,206
23,173,67,81,80,17,36,57,56,46,94,42,80,60,58,20,203
23,178,59,74,71,17,34,59,50,40,89,41,80,63,59,20,186
22,174,80,92,91,18,39,60,61,47,100,47,79,64,60,21,230
23,180,64,76,76,17,34,61,54,46,92,43,83,62,58,19,195
23,181,72,77,76,18,38,63,55,41,95,46,83,64,63,18,199
22,178,72,84,81,17,37,60,59,41,97,47,80,64,61,19,212
23,175,65,70,72,17,34,55,56,41,93,42,75,66,59,20,184
22,170,70,85,83,17,35,55,59,44,98,43,73,65,60,21,211
22,177,64,77,74,17,36,58,55,44,92,41,82,62,59,17,192
22,179,71,79,77,17,33,64,56,43,97,43,83,62,58,19,199
23,174,62,74,75,18,35,57,49,45,93,41,77,62,59,18,190
22,170,64,77,75,16,36,58,55,44,92,40,76,61,59,19,192
20,172,69,82,80,17,36,57,55,44,93,42,76,62,61,18,204
22,171,64,77,77,17,35,58,57,39,92,42,77,59,61,18,196
24,181,62,73,71,17,34,58,52,45,88,42,76,69,60,21,186
24,172,70,84,81,17,36,58,59,42,99,42,75,63,58,20,207
23,174,76,89,85,17,35,60,60,45,100,46,79,62,59,19,220
24,168,57,76,75,16,35,55,50,44,90,41,72,63,60,21,192
24,171,58,75,73,16,35,58,52,43,87,41,78,60,59,20,189
21,182,71,79,76,18,36,62,57,44,93,46,85,63,58,20,201
25,179,102,105,102,19,44,64,72,52,112,53,81,62,60,18,260
21,170,67,85,80,17,37,55,56,45,92,42,76,61,59,19,207
21,175,61,75,73,16,35,56,51,40,93,43,80,61,58,18,191
22,180,78,89,87,17,39,61,60,48,101,46,84,62,60,18,222
23,170,59,76,74,16,36,55,53,44,94,43,77,60,56,18,193
22,180,89,97,92,18,40,62,63,47,102,49,81,63,62,20,238
24,173,73,82,80,17,37,57,59,47,98,43,80,61,61,20,205
22,181,65,76,72,17,36,60,54,47,93,43,81,65,60,21,191
22,169,66,80,80,17,35,54,57,47,92,43,77,61,58,17,203
20,171,67,82,79,16,38,58,56,42,96,47,77,62,60,20,208
23,177,76,90,85,17,39,59,58,48,99,44,81,63,62,19,219
24,178,69,82,76,17,35,59,57,44,96,43,84,62,57,22,201
22,166,60,76,75,16,36,54,55,43,91,41,76,59,60,18,192
